Nome do repositório,Link
Jest-localstorage-mock,https://github.com/clarkbw/jest-localstorage-mock/
Svelte-repl,https://github.com/sveltejs/svelte-repl/
Gluegun,https://github.com/infinitered/gluegun/
React-native-blur,https://github.com/react-native-community/react-native-blur/
React-navigation,https://github.com/react-navigation/react-navigation/
Sidekiq-statistic,https://github.com/davydovanton/sidekiq-statistic/
Lockwise-android,https://github.com/mozilla-lockwise/lockwise-android/
Nice_button,https://github.com/Ethiel97/nice_button/
Awesome-flutter,https://github.com/Solido/awesome-flutter/
Publicsuffix-ruby,https://github.com/weppos/publicsuffix-ruby/
Unform,https://github.com/Rocketseat/unform/
Enhanced-ruby-mode,https://github.com/zenspider/enhanced-ruby-mode/
Bayesjs-editor,https://github.com/bayesjs/bayesjs-editor/
Lol_dba,https://github.com/plentz/lol_dba/
Render_sync,https://github.com/chrismccord/render_sync/
Laravel-mix,https://github.com/JeffreyWay/laravel-mix/
Docs.getleon.ai,https://github.com/leon-ai/docs.getleon.ai/
Busy,https://github.com/busyorg/busy/
Statesman,https://github.com/gocardless/statesman/
Idyll,https://github.com/idyll-lang/idyll/
Tiempo,https://github.com/iagodahlem/tiempo/
How-long-i-ve-been-waiting-for-my-ps4,https://github.com/nolleto/how-long-i-ve-been-waiting-for-my-ps4
Coin_price,https://github.com/elias19r/coin_price
React-pure-loaders,https://github.com/jameswlane/react-pure-loaders/
Active_model_otp,https://github.com/heapsource/active_model_otp/
Kotlintest,https://github.com/kotlintest/kotlintest/
Promdateandroid,https://github.com/promdate/PromdateAndroid/
Reactpureloaders.io,https://github.com/jameswlane/reactpureloaders.io/
Roosevelt,https://github.com/rooseveltframework/roosevelt/
Graasp-desktop,https://github.com/graasp/graasp-desktop/
Wtmbapp,https://github.com/WTMBerlin/WTMBApp/
Searchflix,https://github.com/tripathiamritansh/searchFlix/
Notekeeper-android,https://github.com/wdlsvnit/notekeeper-android/
Clean-rss-fiveagency,https://github.com/AbdAllahAbdElFattah13/clean-rss-fiveagency/
Auto-repair-shop,https://github.com/utfpr-gp/auto-repair-shop/
Coin_price,https://github.com/elias19r/coin_price/
Disable-workspace-switcher-popup,https://github.com/windsorschmidt/disable-workspace-switcher-popup/
Gfms,https://github.com/youurayy/gfms/
Todomvc,https://github.com/tastejs/todomvc/
Tomato,https://github.com/tomatoers/tomato/
Shopping-list-android,https://github.com/DeLaiT/Shopping-List-Android/
Partner,https://github.com/rubyforgood/partner/
Luxon,https://github.com/moment/luxon/
Flokit,https://github.com/iagodahlem/flokit/
Webplatform,https://github.com/boacausa/webplatform/
Software-engineering-daily-android,https://github.com/SoftwareEngineeringDaily/software-engineering-daily-android/
Mentorship-android,https://github.com/systers/mentorship-android/
Promdateandroid,https://github.com/crowdfluence/PromdateAndroid/
Reciprocity,https://github.com/rubyforgood/reciprocity/
Vcr,https://github.com/vcr/vcr/
Fat_free_crm,https://github.com/fatfreecrm/fat_free_crm/
Timecop,https://github.com/travisjeffery/timecop/
Carrierwave-colore,https://github.com/ifad/carrierwave-colore/
Classroom,https://github.com/education/classroom/
Android-clean-mvp-vm,https://github.com/WhatTheFar/android-clean-mvp-vm/
Projectx,https://github.com/muratcanbur/ProjectX/
Charts,https://github.com/helm/charts/
React-native-expo-image-cache,https://github.com/wcandillon/react-native-expo-image-cache/
Pokemongovet.github.io,https://github.com/pokemongovet/pokemongovet.github.io/
Watch,https://github.com/Sottti/Watch/
Tailwindcss,https://github.com/tailwindcss/tailwindcss/
Instagram-api,https://github.com/Tanuj69/instagram-api/
Javascript-algorithms,https://github.com/trekhleb/javascript-algorithms/
Material-bread,https://github.com/codypearce/material-bread/
Simple-gallery,https://github.com/SimpleMobileTools/Simple-Gallery/
Pry,https://github.com/pry/pry/
Flask_accepts,https://github.com/apryor6/flask_accepts/
Flow,https://github.com/facebook/flow/
Evergreen,https://github.com/segmentio/evergreen/
Spectrum,https://github.com/withspectrum/spectrum/
Faker,https://github.com/faker-ruby/faker/
Stack,https://github.com/tylerbwong/stack/
Movie-night,https://github.com/rolandoasmat/Movie-Night/
Rebelsmanager,https://github.com/extinctionrebellion/RebelsManager/
Lit_ipsum,https://github.com/bergbergs/lit_ipsum/
Pyassistant,https://github.com/NIteshx2/PyAssistant/
Awesome_print,https://github.com/awesome-print/awesome_print/
Introdev,https://github.com/lntrodev/introdev/
Openhab-android,https://github.com/openhab/openhab-android/
Nivo,https://github.com/plouc/nivo/
Create-aio-app,https://github.com/aio-libs/create-aio-app/
Chronic,https://github.com/mojombo/chronic/
Cli,https://github.com/react-native-community/cli/
Android-kotlin-modulerized-cleanarchitecture,https://github.com/melihaksoy/Android-Kotlin-Modulerized-CleanArchitecture/
Ant-design,https://github.com/ant-design/ant-design/
Voices-of-consent,https://github.com/rubyforgood/voices-of-consent/
Faker.js,https://github.com/Marak/faker.js/
Hacktoberfestnh.github.io,https://github.com/hacktoberfestnh/hacktoberfestnh.github.io/
Mobile_desiregallery,https://github.com/Lider123/mobile_desiregallery/
Itemistevolved,https://github.com/JakubMosakowski/ItemistEvolved/
Bernie2020,https://github.com/tpfaff/Bernie2020/
Android,https://github.com/HackIllinois/android/
Diaspora,https://github.com/diaspora/diaspora/
Yup,https://github.com/jquense/yup/
Bn-android-doorperson,https://github.com/big-neon/bn-android-doorperson/
Mon-vot-android-kotlin,https://github.com/code4romania/mon-vot-android-kotlin/
Saml_idp,https://github.com/saml-idp/saml_idp/
Grommet,https://github.com/grommet/grommet/
Core-ui,https://github.com/scality/core-ui/
Huskyci-dashboard,https://github.com/globocom/huskyCI-dashboard/
React-slick,https://github.com/akiran/react-slick/
That-pokemon-quiz,https://github.com/StheffanyHadlich/that-pokemon-quiz/
Morpheus-heroku,https://github.com/cionescu/morpheus-heroku/
Transaction,https://github.com/t2013anurag/transaction/
Aws-ecr-orb,https://github.com/CircleCI-Public/aws-ecr-orb/
React-native-material-backdrop-modal,https://github.com/brunohkbx/react-native-material-backdrop-modal/
Em-proto,https://github.com/cybersemics/em-proto/
Apps-android-wikiedudashboard,https://github.com/WikiEducationFoundation/apps-android-wikiedudashboard/
Droidconke2019app,https://github.com/droidconKE/droidconKE2019App/
Skrape.it,https://github.com/skrapeit/skrape.it/
Game,https://github.com/delaford/game/
